,ID,taxon,shortname,definition
985,bas,198804,bucap,"buchnera aphidicola sg, endosymbiont of schizaphis graminum (greenbug)"
986,bab,224915,bucbp,"buchnera aphidicola bp, endosymbiont of baizongia pistaciae"
987,bcc,372461,buccc,"buchnera aphidicola bcc, endosymbiont of cinara cedri"
988,baj,261317,,"buchnera aphidicola bctu, endosymbiont of cinara tujafilina"
989,baph,1265350,,"buchnera aphidicola bag, endosymbiont of aphis glycines"
990,wbr,36870,wigbr,"wigglesworthia glossinidia (wigglesworthia brevipalpis), endosymbiont of glossina brevipalpis (tsetse fly)"
991,wgl,1142511,,"wigglesworthia glossinidia, endosymbiont of glossina morsitans morsitans (yale colony)"
992,pam,706191,,pantoea ananatis lmg 20103
993,plf,1123863,,pantoea ananatis lmg 5342
994,paj,932677,,pantoea ananatis aj13355
995,paq,1095774,,pantoea ananatis pa13
996,pva,712898,,pantoea vagans c9-1
997,pagg,470934,,pantoea vagans fdaargos_160
998,pao,592316,,pantoea sp. at-9b
999,kln,1076550,,pantoea rwandensis nd04 (kluyvera sp. nd04)
1000,pant,1484158,,pantoea sp. psnih1
1001,panp,1484157,,pantoea sp. psnih2
1002,hhs,1235990,,"candidatus pantoea carbekii, endosymbiont of halyomorpha halys"
1003,pck,1235990,,candidatus pantoea carbekii us
1004,pagc,549,,pantoea agglomerans c410p1
1005,pstw,660596,,pantoea stewartii subsp. stewartii dc283
1006,palh,1891675,,pantoea alhagi ltyr-11z
1007,pans,2575375,,pantoea sp. so10
1008,pey,470933,,pantoea eucalypti lmg 24197
1009,pdis,59814,,pantoea dispersa dsm 32899
1010,pgz,665914,,mixta gaviniae dsm 22758 (pantoea gaviniae dsm 22758)
1011,pcd,665913,,mixta calida dsm 22759 (pantoea calida dsm 22759)
1012,mint,1615494,,mixta intestinalis srcm103226
1013,mthi,1458355,,mixta theicola srcm103227
1014,tci,53336,,tatumella citrea dsm 13699
1015,tpty,82987,,tatumella ptyseos nctc11468
1016,plu,243265,pholl,photorhabdus laumondii subsp. laumondii tto1 (photorhabdus luminescens subsp. laumondii tto1)
1017,plum,141679,,photorhabdus laumondii subsp. laumondii dspv002n
1018,pay,291112,,photorhabdus asymbiotica atcc43949
1019,ptt,230089,,"photorhabdus thracensis dsm 15199, endosymbiont of heterorhabditis bacteriophora"
1020,pmr,529507,promh,proteus mirabilis hi4320
1021,pmib,1266738,,proteus mirabilis bb2000
1022,pvl,584,,proteus mirabilis cypv1
1023,pvg,585,,proteus vulgaris fdaargos_366
1024,phau,183417,,proteus hauseri 15h5d-4a
1025,prot,1921565,,proteus sp. cd3
1026,pcib,626774,,proteus cibarius zf2
1027,pcol,1987580,,proteus columbae t60
1028,xbo,406818,,xenorhabdus bovienii ss-2004
1029,xbv,40576,,xenorhabdus bovienii cs03
1030,xne,406817,,xenorhabdus nematophila atcc 19061
1031,xnm,1437823,,xenorhabdus nematophila an6/1
1032,xdo,351671,,xenorhabdus doucetiae frm16
1033,xpo,1354304,,xenorhabdus poinarii g6
1034,xho,351679,,xenorhabdus hominickii anu1
1035,psi,1157951,,providencia stuartii mrsn 2154
1036,psx,588,,providencia stuartii atcc 33672
1037,psta,588,,providencia stuartii be2467
1038,prg,587,,providencia rettgeri rb151
1039,pala,126385,,providencia alcalifaciens fdaargos_408
1040,phei,333962,,providencia heimbachae nctc12003
1041,prq,2027290,,providencia huaxiensis wchpr000369
1042,prj,158850,,providencia rustigianii nctc6933
1043,pvc,333965,,providencia vermicola p8538
1044,mmk,1124991,,morganella morganii subsp. morganii kt
1045,asy,634113,,"candidatus arsenophonus lipoptenae cb, endosymbiont of lipoptena cervi"
1046,aen,235559,,"arsenophonus sp. arad, endosymbiont of aleurodicus dispersus"
1047,ans,638,,arsenophonus nasoniae fin
1048,eic,634503,edwi9,edwardsiella ictaluri 93-146
1049,etr,498217,,edwardsiella tarda eib202
1050,etd,718251,,edwardsiella tarda fl6-60
1051,ete,667120,,edwardsiella anguillarum et080813 (edwardsiella tarda 080813)
1052,etc,1288122,,edwardsiella piscicida c07-087
1053,edw,1578828,,edwardsiella sp. ea181011
1054,edl,1650654,,edwardsiella sp. ladl05-105
1055,eho,93378,,edwardsiella hoshinae atcc 35051
1056,hav,1453496,,hafnia alvei fb1
1057,hpar,546367,,hafnia paralvei fdaargos_158
1058,opo,82983,,obesumbacterium proteus dsm 2777
1059,lpv,2172103,,limnobaculum parvum hyn0051
1060,pfq,82985,,pragia fontium 24613
1061,prag,2498113,,pragia sp. cf-458
1062,lri,158841,,leminorella richardii nctc12151
1063,pshi,703,,plesiomonas shigelloides nctc10360
1064,hin,71421,haein,haemophilus influenzae rd kw20 (serotype d)
1065,hit,281310,haei8,haemophilus influenzae 86-028np (nontypeable)
1066,hip,374930,haeie,haemophilus influenzae pittee (nontypeable)
1067,hiq,374931,haeig,haemophilus influenzae pittgg (nontypeable)
1068,hif,866630,,haemophilus influenzae f3031 (nontypeable)
1069,hil,935897,,haemophilus influenzae f3047 (nontypeable)
1070,hiu,862964,,haemophilus influenzae 10810 (serotype b)
1071,hie,262727,,haemophilus influenzae r2846 (nontypeable)
1072,hiz,262728,,haemophilus influenzae r2866 (nontypeable)
1073,hik,1334187,,haemophilus influenzae kr494 (serotype f)
1074,hia,1295140,,haemophilus influenzae cgshicz412602
1075,hih,727,,haemophilus influenzae hi375
1076,hiw,727,,haemophilus influenzae 477
1077,hic,727,,haemophilus influenzae c486
1078,hix,727,,haemophilus influenzae 723
1079,hpr,862965,,haemophilus parainfluenzae t3t1
1080,hdu,233412,haedu,haemophilus ducreyi 35000hp
1081,hay,712310,,haemophilus sp. oral taxon 036 f0629
1082,hpit,249188,,haemophilus pittmaniae nctc13334
1083,hhz,726,,haemophilus haemolyticus nctc10839
1084,haeg,197575,,haemophilus aegyptius nctc8502
1085,hpaa,735,,haemophilus parahaemolyticus neb129
1086,hap,557723,haeps,glaesserella parasuis sh0165 (haemophilus parasuis sh0165)
1087,hpaz,1322346,,glaesserella parasuis zj0906 (haemophilus parasuis zj0906)
1088,hpas,738,,glaesserella parasuis sh03
1089,hpak,738,,glaesserella parasuis kl0318
1090,gle,2030797,,glaesserella sp. 15-184
1091,hso,205914,haes1,histophilus somni 129pt (haemophilus somnus 129pt)
1092,hsm,228400,haes2,histophilus somni 2336
1093,pmu,272843,pasmu,pasteurella multocida subsp. multocida pm70
1094,pmv,1132496,,pasteurella multocida subsp. multocida hn06
1095,pul,584721,,pasteurella multocida subsp. multocida 3480
1096,pmp,1075089,,pasteurella multocida 36950
1097,pmul,747,,pasteurella multocida atcc 43137
1098,pdag,754,,pasteurella dagmatis nctc11617
1099,psky,97481,,pasteurella skyensis 95a1
1100,msu,221988,mansm,mannheimia succiniciproducens mbel55e
1101,bsun,653940,,basfia succiniciproducens jf4016
1102,mht,1249526,,mannheimia haemolytica usda-ars-usmarc-185
1103,mhq,1249531,,mannheimia haemolytica usda-ars-usmarc-183
1104,mhat,1222034,,mannheimia haemolytica usda-ars-usmarc-184
1105,mhx,1316932,,mannheimia haemolytica m42548
1106,mhae,1261126,,mannheimia haemolytica d153
1107,mham,1311759,,mannheimia haemolytica d171
1108,mhao,1311760,,mannheimia haemolytica d174
1109,mhal,1366053,,mannheimia haemolytica usmarc_2286
1110,mhaq,75985,,mannheimia haemolytica 89010807n
1111,mhay,75985,,mannheimia haemolytica 89010807n lkta-
1112,mvr,1432056,,mannheimia sp. usda-ars-usmarc-1261 (mannheimia varigena usda-ars-usmarc-1261)
1113,mvi,1433287,,mannheimia varigena usda-ars-usmarc-1296
1114,mvg,1434214,,mannheimia varigena usda-ars-usmarc-1312
1115,mve,1434215,,mannheimia varigena usda-ars-usmarc-1388
1116,mann,2679994,,mannheimia sp. zy170218
1117,mgra,85402,,mannheimia granulomatis b 234/94
1118,apl,416269,actp2,actinobacillus pleuropneumoniae l20 (serotype 5b)
1119,apj,434271,actpj,actinobacillus pleuropneumoniae jl03 (serotype 3)
1120,apa,537457,actp7,actinobacillus pleuropneumoniae ap76 (serotype 7)
1121,asu,339671,actsz,actinobacillus succinogenes 130z
1122,asi,696748,,actinobacillus suis h91-0380
1123,ass,743972,,actinobacillus suis atcc 33415
1124,aeu,202947,,actinobacillus equuli subsp. equuli 19392
1125,apor,189834,,actinobacillus porcitonsillarum 9953l55
1126,aio,51049,,actinobacillus indolicus aifj1607
1127,adp,51161,,actinobacillus delphinicola nctc12871
1128,alig,720,,actinobacillus lignieresii nctc10568
1129,aap,634176,haeap,aggregatibacter aphrophilus nj8700
1130,aaz,732,,aggregatibacter aphrophilus w10433
1131,aat,668336,,aggregatibacter actinomycetemcomitans d11s-1
1132,aao,754507,,aggregatibacter actinomycetemcomitans anh9381
1133,aan,694569,,aggregatibacter actinomycetemcomitans d7s-1
1134,aah,272556,,aggregatibacter actinomycetemcomitans hk1651
1135,aacn,1407647,,aggregatibacter actinomycetemcomitans num4039
1136,aact,714,,aggregatibacter actinomycetemcomitans 624
1137,aseg,888057,,aggregatibacter segnis atcc 33393
1138,gan,1005058,,gallibacterium anatis umn179
1139,bto,1171377,,bibersteinia trehalosi usda-ars-usmarc-192
1140,btre,1263829,,bibersteinia trehalosi usda-ars-usmarc-188
1141,btrh,1263831,,bibersteinia trehalosi usda-ars-usmarc-189
1142,btra,1263832,,bibersteinia trehalosi usda-ars-usmarc-190
1143,apag,728,,avibacterium paragallinarum farper-174
1144,avt,762,,avibacterium volantium nctc3438
1145,rpne,758,,rodentibacter pneumotropicus nctc8284
1146,rhey,1906744,,rodentibacter heylii g1
1147,ooi,1032623,,otariodibacter oris baika1
1148,fcl,123824,,frederiksenia canicola hpa 21
1149,bhud,109472,,bisgaardia hudsonensis m327/99/2
1150,paet,749,,pasteurella aerogenes nctc13378
1151,xfa,160492,xylfa,xylella fastidiosa 9a5c
1152,xft,183190,xylft,xylella fastidiosa temecula1
1153,xfm,405440,xylfm,xylella fastidiosa m12
1154,xfn,405441,xylf2,xylella fastidiosa m23
1155,xff,788929,,xylella fastidiosa subsp. fastidiosa gb514
1156,xfl,1401256,,xylella fastidiosa mul0034
1157,xfs,155920,,xylella fastidiosa subsp. sandyi ann-1
1158,xfh,2371,,xylella fastidiosa hib4
1159,xtw,1444770,,xylella taiwanensis pls235
1160,xcc,190485,xancp,xanthomonas campestris pv. campestris atcc 33913
1161,xcb,314565,xanc8,xanthomonas campestris pv. campestris 8004 (beijing)
1162,xca,340,xancb,xanthomonas campestris pv. campestris b100
1163,xcp,990315,,xanthomonas campestris pv. raphani 756c
1164,xcv,316273,xanc5,xanthomonas campestris pv. vesicatoria 85-10
1165,xax,981368,,xanthomonas axonopodis pv. citrumelo f1
1166,xac,190486,xanac,xanthomonas citri pv. citri 306 (xanthomonas axonopodis pv. citri 306)
1167,xci,1137651,,xanthomonas citri subsp. citri aw12879
1168,xct,1308541,,xanthomonas citri subsp. citri a306
1169,xcj,1308548,,xanthomonas citri subsp. citri ui6
1170,xcu,611301,,xanthomonas citri pv. citri ui7 (xanthomonas citri subsp. citri ui7)
1171,xcn,611301,,xanthomonas citri pv. citri nt17 (xanthomonas citri subsp. citri nt17)
1172,xcw,611301,,xanthomonas citri pv. citri mn10 (xanthomonas citri subsp. citri mn10)
1173,xcr,611301,,xanthomonas citri pv. citri mn11 (xanthomonas citri subsp. citri mn11)
1174,xcm,611301,,xanthomonas citri pv. citri mn12 (xanthomonas citri subsp. citri mn12)
1175,xcf,611301,,xanthomonas citri pv. citri mf20 (xanthomonas citri subsp. citri mf20)
1176,xfu,366649,,xanthomonas citri pv. fuscans 4834-r (xanthomonas fuscans subsp. fuscans 4834-r)
1177,xao,1304892,,xanthomonas axonopodis xac29-1
1178,xom,342109,xanom,xanthomonas oryzae pv. oryzae maff 311018
1179,xoo,291331,xanor,xanthomonas oryzae pv. oryzae kacc 10331
1180,xop,360094,xanop,xanthomonas oryzae pv. oryzae pxo99a
1181,xoy,1458476,,xanthomonas oryzae pv. oryzae pxo86
1182,xor,383407,,xanthomonas oryzae pv. oryzicola bls256
1183,xoz,129394,,xanthomonas oryzae pv. oryzicola cfbp7342
1184,xal,380358,,xanthomonas albilineans gpe pc73
1185,xsa,56458,,xanthomonas sacchari r1
1186,xtn,487909,,xanthomonas translucens pv. undulosa strain xtu 4699
1187,xfr,48664,,xanthomonas fragariae fap21
1188,xve,925775,,xanthomonas vesicatoria atcc 35937 lmg911
1189,xpe,442694,,xanthomonas perforans lh3
1190,xhr,56454,,xanthomonas hortorum b07-007
1191,xga,2754056,,xanthomonas hortorum pv. gardneri icmp 7383 (xanthomonas gardneri icmp 7383)
1192,xph,317013,,xanthomonas phaseoli pv. phaseoli cfbp6546r
1193,xva,325776,,xanthomonas vasicola pv. vasculorum sam119
1194,xan,1680158,,xanthomonas sp. iso98c4
1195,xar,56448,,xanthomonas arboricola 17
1196,xhy,56455,,xanthomonas hyacinthi cfbp 1156
1197,xcz,56453,,xanthomonas cucurbitae atcc 23378
1198,xth,56464,,xanthomonas theicola cfbp 4691
1199,sml,522373,strmk,stenotrophomonas maltophilia k279a
1200,smt,391008,strm5,stenotrophomonas maltophilia r551-3
1201,buj,868597,,stenotrophomonas maltophilia jv3
1202,smz,1163399,,stenotrophomonas maltophilia d457
1203,sacz,128780,,stenotrophomonas acidaminiphila zac14d2_naimi4_2
1204,stek,1793721,,stenotrophomonas sp. kctc 12332
1205,srh,216778,,stenotrophomonas rhizophila ql-p4
1206,slm,1904944,,stenotrophomonas sp. lm091
1207,sten,2005046,,stenotrophomonas sp. wzn-1
1208,stem,1827305,,stenotrophomonas sp. myb57
1209,stes,2282124,,stenotrophomonas sp. ass1
1210,psu,743721,,pseudoxanthomonas suwonensis 11-1
1211,psuw,314722,,pseudoxanthomonas suwonensis j1
1212,psd,1045855,,pseudoxanthomonas spadix bd-a59
1213,pmex,128785,,pseudoxanthomonas mexicana gtzy
1214,lab,84531,,lysobacter antibioticus 76
1215,laq,84531,,lysobacter antibioticus atcc 29479
1216,lcp,435897,,lysobacter capsici 55
1217,lgu,262324,,lysobacter gummosus 3.2.11
1218,lez,69,,lysobacter enzymogenes c3
1219,lem,69,,lysobacter enzymogenes m497-1
1220,lmb,1605891,,lysobacter maris hz9b
1221,lyt,2290922,,lysobacter sp. ty2-98
1222,lue,2698682,,lysobacter oculi 83-4
1223,lyj,2591633,,lysobacter sp. sj-36
1224,lsol,453783,,lysobacter soli xl170
1225,lum,2006110,,luteimonas chenhongjianii 100111
1226,lus,2565782,,luteimonas yindakuii s-1072
1227,lug,1176533,,luteimonas granuli gr-4
1228,thes,2202149,,thermomonas sp. sy21
1229,theh,2714945,,thermomonas sp. hdw16
1230,tcn,1463158,,thermomonas carbonis kctc 42013
1231,tbv,215691,,thermomonas brevis kacc 16975
1232,xbc,2511995,,pseudolysobacter antarcticus aq6-296
1233,fau,767434,,frateuria aurantia dsm 6220
1234,rhd,666685,,rhodanobacter denitrificans 2apbs1
1235,rgl,582702,,rhodanobacter glycinis t01e-68
1236,dji,1379159,,dyella jiangningensis sbz 3-12
1237,dja,1217721,,dyella japonica a8
1238,dtx,445710,,dyella thiooxydans atsb10
1239,dye,2501295,,dyella sp. m7h15-1
1240,dko,1300342,,dokdonella koreensis ds-123
1241,lrz,1440763,,luteibacter rhizovicinus dsm 16549 lj96t (luteibacter rhizovicinus lj96t)
1242,lpy,2589080,,luteibacter pinisoli mah-14
1243,xba,2021234,,ahniella affigens d13
1244,rbd,2010829,,aerosticca soli dysh456
1245,vch,243277,vibch,vibrio cholerae o1 el tor n16961
1246,vcf,686,,vibrio cholerae o1 el tor fj147
1247,vcs,1420885,,vibrio cholerae o1 el tor ms6
1248,vce,914149,,vibrio cholerae o1 2010el-1786
1249,vcq,666,,vibrio cholerae o1 2012el-2176
1250,vcj,593588,vibch,vibrio cholerae o1 mj-1236
1251,vci,1134456,,vibrio cholerae o1 iec224
1252,vco,345073,vibc3,vibrio cholerae o1 o395
1253,vcr,345073,,vibrio cholerae o1 o395
1254,vcm,579112,vibcm,vibrio cholerae o1 m66-2
1255,vcl,935297,,vibrio cholerae o1 lma3984-4
1256,vcx,666,,vibrio cholerae o49 1154-74
1257,vcz,666,,vibrio cholerae o27 10432-62
1258,vvu,216895,vibvu,vibrio vulnificus cmcp6
1259,vvy,196600,vibvy,vibrio vulnificus yj016 (biotype 1)
1260,vvm,914127,,vibrio vulnificus mo6-24/o
1261,vvl,672,,vibrio vulnificus 93u204
1262,vpa,223926,vibpa,vibrio parahaemolyticus rimd 2210633
1263,vpb,1211705,,vibrio parahaemolyticus bb22op
1264,vpk,1338032,,vibrio parahaemolyticus o1:k33 cdc_k4557
1265,vpf,1338034,,vibrio parahaemolyticus o1:kuk fda_r31
1266,vph,1429044,,vibrio parahaemolyticus ucm-v493
1267,vha,338187,vibhb,vibrio campbellii atcc baa-1116 (vibrio harveyi atcc baa-1116)
1268,vca,338187,,vibrio campbellii atcc baa-1116
1269,vag,1219076,,vibrio alginolyticus nbrc 15630 = atcc 17749
1270,vex,150340,,vibrio antiquarius ex25
1271,vdb,50719,,vibrio diabolicus fdaargos_96
1272,vhr,669,,vibrio harveyi atcc 43516
1273,vna,1219067,,vibrio natriegens nbrc 15636 = atcc 14048 = dsm 759
1274,vow,696485,,vibrio owensii xsbz03
1275,vro,190895,,vibrio rotiferianus b64d1
1276,vsp,693153,vibsl,vibrio atlanticus lgp32 (vibrio tasmaniensis lgp32)
1277,vej,1116375,,vibrio sp. ejy3
1278,vfu,903510,,vibrio furnissii nctc 11218
1279,vni,28173,,vibrio nigripulchritudo sfn1
1280,van,882102,,vibrio anguillarum 775
1281,lag,882944,,vibrio anguillarum m3
1282,vau,55601,,vibrio anguillarum nb10
1283,vcy,190893,,vibrio coralliilyticus re98
1284,vct,190893,,vibrio coralliilyticus ocn014
1285,vtu,1051646,,vibrio tubiashii atcc 19109
1286,vfl,676,,vibrio fluvialis atcc 33809
1287,vmi,674,,vibrio mimicus atcc 33654
1288,vbr,553239,,vibrio breoganii ff50
1289,vsc,45658,,vibrio scophthalmi vs-12
1290,vga,687,,vibrio gazogenes atcc 43942
1291,vsh,689,,vibrio mediterranei qt6d1 (vibrio shilonii qt6d1)
1292,vqi,2025808,,vibrio qinghaiensis q67
1293,vta,1671868,,vibrio tapetis subsp. tapetis vibrio tapetis cect4600
1294,vaf,1074311,,vibrio alfacsensis caim 1831
1295,vnl,1208308,,vibrio neocaledonicus cgj02-2
1296,vcc,47951,,vibrio cyclitrophicus ecsmb14105
1297,vas,1481923,,vibrio astriarenae hn897
1298,vaq,2587862,,vibrio aquimaris thaf100
1299,vsr,1918945,,vibrio spartinae 3.6
1300,vfi,312309,vibf1,aliivibrio fischeri es114 (vibrio fischeri es114)
1301,vfm,388396,vibfm,aliivibrio fischeri mj11 (vibrio fischeri mj11)
1302,vsa,316275,alisl,aliivibrio salmonicida lfi1238
1303,awd,80852,,aliivibrio wodanis
1304,ppr,298386,phopr,photobacterium profundum ss9
1305,pgb,658445,,photobacterium gaetbulicola gung47
1306,pds,85581,,photobacterium damselae subsp. damselae kc-na-1
1307,gho,673,,grimontia hollisae atcc 33564
1308,pmai,1755811,,paraphotobacterium marinum nscs20n07d
1309,saly,2003370,,salinivibrio sp. ycsc6
1310,sks,1908198,,salinivibrio kushneri al184
1311,scot,51367,,salinivibrio costicola m318
1312,pae,208964,pseae,pseudomonas aeruginosa pao1
1313,paev,1367494,,pseudomonas aeruginosa pao1-ve13
1314,paei,1367493,,pseudomonas aeruginosa pao1-ve2
1315,pau,208963,pseab,pseudomonas aeruginosa ucbpp-pa14
1316,pap,381754,psea7,pseudomonas aeruginosa pa7
1317,pag,557722,psea8,pseudomonas aeruginosa lesb58
1318,paf,941193,,pseudomonas aeruginosa m18
1319,pnc,1089456,,pseudomonas aeruginosa ncgm2.s1
1320,paeb,287,,pseudomonas aeruginosa ncgm 1900
1321,pdk,1093787,,pseudomonas aeruginosa dk2
1322,psg,1280938,,pseudomonas aeruginosa b136-33
1323,prp,1340851,,pseudomonas aeruginosa rp73
1324,paep,1279007,,pseudomonas aeruginosa pa1
1325,paer,1279008,,pseudomonas aeruginosa pa1r
1326,paem,1415629,,pseudomonas aeruginosa mtb-1
1327,pael,1408272,,pseudomonas aeruginosa les431
1328,paes,1427342,,pseudomonas aeruginosa scv20265
1329,paeu,1407059,,pseudomonas aeruginosa pa38182
1330,paeg,1448140,,pseudomonas aeruginosa yl84
1331,paec,1352355,,pseudomonas aeruginosa c7447m
1332,paeo,1352354,,pseudomonas aeruginosa pao581
1333,pmy,399739,psemy,pseudomonas mendocina ymp
1334,pmk,1001585,,pseudomonas mendocina nk-01
1335,pre,1245471,,pseudomonas resinovorans nbrc 106553
1336,ppse,1182590,,pseudomonas pseudoalcaligenes cect 5344
1337,pfuw,1149133,,pseudomonas furukawaii kf707
1338,palc,43263,,pseudomonas alcaligenes neb 585
1339,pcq,53408,,pseudomonas citronellolis p3b5
1340,ppu,160488,psepk,pseudomonas putida kt2440
1341,ppf,351746,psep1,pseudomonas putida f1
1342,ppg,76869,psepg,pseudomonas putida gb-1
1343,ppw,390235,psepw,pseudomonas putida w619
1344,ppt,1042876,,pseudomonas putida s16
1345,ppb,931281,,pseudomonas putida bird-1
1346,ppi,231023,,pseudomonas putida nd6
1347,ppx,1196325,,pseudomonas putida dot-t1e
1348,ppuh,1215088,,pseudomonas putida hb3267
1349,pput,1331671,,pseudomonas putida h8234
1350,ppun,1211579,,pseudomonas putida nbrc 14164
1351,ppud,303,,pseudomonas putida dll-e4
1352,pfv,743720,,pseudomonas fulva 12-x
1353,pmon,1435044,,pseudomonas monteilii sb3078
1354,pmot,1435058,,pseudomonas monteilii sb3101
1355,pmos,1306993,,pseudomonas soli sj10 (pseudomonas mosselii sj10)
1356,ppj,70775,,pseudomonas plecoglossicida nyz12
1357,por,47885,,pseudomonas oryzihabitans usda-ars-usmarc-56511
1358,pst,223283,psesm,pseudomonas syringae pv. tomato dc3000
1359,psb,205918,pseu2,pseudomonas syringae pv. syringae b728a
1360,psyr,1357279,,pseudomonas syringae cc1557
1361,psp,264730,pse14,pseudomonas savastanoi pv. phaseolicola 1448a (pseudomonas syringae pv. phaseolicola 1448a)
1362,pamg,129138,,pseudomonas amygdali pv. morsprunorum r15244
1363,pci,1441629,,pseudomonas cichorii jbc1
1364,pavl,46257,,pseudomonas avellanae r2leaf
1365,pvd,33069,,pseudomonas viridiflava cfbp 1590
1366,pfl,220664,psef5,pseudomonas protegens pf-5
1367,pprc,1124983,,pseudomonas protegens cha0
1368,ppro,1420599,,pseudomonas protegens cab57
1369,pfo,205922,psepf,pseudomonas fluorescens pf0-1
1370,pfs,216595,psefs,pseudomonas fluorescens sbw25
1371,pfe,1114970,,pseudomonas fluorescens f113
1372,pfc,1037911,,pseudomonas fluorescens a506
1373,pfn,294,,pseudomonas fluorescens uk4
1374,ppz,1282356,,pseudomonas poae re*1-1-14
1375,pfb,47883,,pseudomonas synxantha lbum223 (pseudomonas fluorescens lbum223)
1376,pman,1147786,,pseudomonas mandelii jr-1
1377,ptv,200450,,pseudomonas trivialis ihbb745
1378,pcg,47879,,pseudomonas corrugata rm1-1-4
1379,pvr,76761,,pseudomonas veronii r02
1380,pazo,47878,,pseudomonas azotoformans s4
1381,poi,76758,,pseudomonas orientalis f9
1382,pfw,321846,,pseudomonas simiae pcl1751 (pseudomonas fluorescens pcl1751)
1383,pff,321846,,pseudomonas simiae picf7 (pseudomonas fluorescens picf7)
1384,pfx,244566,,pseudomonas lurida l228 (pseudomonas fluorescens l228)
1385,pen,384676,psee4,pseudomonas entomophila l48
1386,psa,379731,pseu5,pseudomonas stutzeri a1501
1387,psz,96563,,pseudomonas stutzeri atcc 17588 = lmg 11199
1388,psr,996285,,pseudomonas stutzeri dsm 4166
1389,psc,1196835,,pseudomonas stutzeri ccug 29243
1390,psj,1123519,,pseudomonas stutzeri dsm 10701
1391,psh,644801,,pseudomonas stutzeri rch2
1392,pstu,316,,pseudomonas stutzeri 19smn4
1393,pstt,316,,pseudomonas stutzeri 28a24
1394,pbm,1123016,,pseudomonas balearica dsm 6083
1395,plul,47886,,pseudomonas luteola fdaargos_637
1396,pba,994484,,pseudomonas brassicacearum subsp. brassicacearum nfm421
1397,pbc,930166,,pseudomonas brassicacearum df41
1398,ppuu,1207075,,pseudomonas sp. uw4
1399,pdr,1294143,,pseudomonas sp. atcc 13867 (pseudomonas denitrificans atcc 13867)
1400,psv,69328,,pseudomonas sp. vlb120
1401,psk,1415630,,pseudomonas sp. tkp
1402,pkc,1301098,,pseudomonas knackmussii b13
1403,pch,587753,,pseudomonas chlororaphis pa23
1404,pcz,587753,,pseudomonas chlororaphis pcl1606
1405,pcp,86192,,pseudomonas chlororaphis subsp. aurantiaca jd37
1406,pfz,296,,pseudomonas fragi p121
1407,plq,86185,,pseudomonas lundensis au1044
1408,palk,237609,,pseudomonas alkylphenolica kl28 (pseudomonas alkylphenolia kl28)
1409,prh,216142,,pseudomonas rhizosphaerae dsm 16299
1410,psw,157783,,pseudomonas cremoricolorata nd07
1411,ppv,157782,,pseudomonas parafulva crs01-1
1412,pses,1028989,,pseudomonas sp. stflb209
1413,psem,1611770,,pseudomonas sp. mrsn12121
1414,psec,1649877,,pseudomonas sp. ccos 191
1415,ppsy,1788301,,pseudomonas versuta l10.10
1416,psos,1500686,,pseudomonas sp. os17
1417,pkr,198620,,pseudomonas koreensis d26
1418,pfk,104087,,pseudomonas frederiksbergensis as1
1419,panr,219572,,pseudomonas antarctica pamc 27494
1420,ppsl,237610,,pseudomonas psychrotolerans prs08-11306
1421,pset,1856685,,pseudomonas sp. tcu-hl1
1422,psil,1853130,,pseudomonas silesiensis a3
1423,pym,515393,,pseudomonas yamanorum lbum636
1424,pade,1302376,,"candidatus pseudomonas adelgestsugas hwa_ena, endosymbiont of adelges tsugae (hemlock woolly adelgid)"
1425,psed,2213057,,pseudomonas sp. r2a2
1426,pke,1628086,,pseudomonas kribbensis 46-2
1427,pall,741155,,pseudomonas alcaliphila jab1
1428,pum,198618,,pseudomonas umsongensis cy-1
1429,poj,319939,,pseudomonas otitidis mrb4
1430,pgg,158627,,pseudomonas graminis pgkb30
1431,ppsh,122355,,pseudomonas psychrophila km02
1432,pgy,1785145,,pseudomonas glycinae ms586
1433,avn,322710,azovi,azotobacter vinelandii dj
1434,avl,1283330,,azotobacter vinelandii ca
1435,avd,1283331,,azotobacter vinelandii ca6
1436,acx,1328314,,azotobacter chroococcum ncimb 8003
1437,pbb,1697053,,oblitimonas alkaliphila b4199
1438,pagr,1510150,,permianibacter aggregans hw001
1439,emo,2213226,,entomomonas moraniae qzs01
1440,par,259536,psya2,psychrobacter arcticus 273-4
1441,pcr,335284,psyck,psychrobacter cryohalolentis k5
1442,prw,349106,psywf,psychrobacter sp. prwf-1
1443,pso,571800,,psychrobacter sp. g
1444,pur,45610,,psychrobacter urativorans r10.10b
1445,pali,261164,,psychrobacter alimentarius pamc 27889
1446,pspg,1699622,,psychrobacter sp. p2g3
1447,psyg,1699624,,psychrobacter sp. p11g5
1448,psyc,1028416,,psychrobacter sp. dab_al43b
1449,psya,1720344,,psychrobacter sp. antimn-1
1450,psyy,2203895,,psychrobacter sp. yp14
1451,psyp,2565557,,psychrobacter sp. pamc27889
1452,acb,400667,acibt,acinetobacter baumannii atcc 17978
1453,abm,509170,acibs,acinetobacter baumannii sdf
1454,aby,509173,aciby,acinetobacter baumannii aye
1455,abc,405416,acibc,acinetobacter baumannii acicu
1456,abn,480119,acib5,acinetobacter baumannii ab0057
1457,abb,557600,acib3,acinetobacter baumannii ab307-0294
1458,abx,696749,,acinetobacter baumannii 1656-2
1459,abz,497978,,acinetobacter baumannii mdr-zj06
1460,abr,889738,,acinetobacter baumannii mdr-tj
